"b","loglik","loglik.se","delta.loglik","cea","cel","cpa","mu_A","mu_L","tau_E","tau_L","tau_P","od"
1.28,-7398.38967684901,0.405462931317589,-1.46755804198528,0.015216107615312,0.0266068982939714,0.0625007228483787,5.6281338291457e-05,2.89020791942997e-05,12.6480343781421,11.9402853675829,17.1501330891971,1.54066379070872
1.29,-7394.841986886,0.407839545455636,-7394.841986886,0.0154299605487825,0.0289950970117708,0.046098292451317,8.2795931982626e-06,9.84640710617486e-05,11.3508047007452,11.9530599120271,17.5056558155845,1.49798973241083
1.3,-7395.01500872661,0.238765583280813,-7395.01500872661,0.0176224307518481,0.0300671361536641,0.0412895796104101,0.000108007672886585,3.82265066825107e-05,10.8408225827724,12.4038426932649,18.2533957714002,1.55422839382975
1.31,-7394.48635966727,0.215871348463444,3.30771548244957,0.0174732996821255,0.027549133450047,0.0429053795821395,0.000211259448163246,1.31662964762885e-05,12.3891048013077,12.0668081102907,17.2920589629537,1.58908109232751
1.32,-7393.70720843856,0.15953825095641,-7393.70720843856,0.0153976523471063,0.0277200222841506,0.0425778287720169,2.55235258666576e-06,5.67789060421225e-06,12.1641918446202,12.6836715187272,16.881904232374,1.5304380859685
1.33,-7394.00144850434,0.46470912355026,1.49390459400365,0.0162949284807027,0.0289622553141182,0.0491493884878558,5.23142779137594e-07,4.90901041157661e-05,11.1389855489468,12.2764792918887,17.9507395537211,1.49260491876285
1.34,-7393.37127051034,0.274120848698879,1.33813460175588,0.0166308902280912,0.0269963415251533,0.0566086384219314,1.47643793715229e-05,5.87521945877626e-05,12.1616944376499,12.2761919833108,19.0115846225683,1.53748618622519
1.35,-7396.28460105816,0.238106039194115,-1.69079482364396,0.015772949200113,0.0294720728698932,0.0512101067751586,1.79810407502259e-05,6.05835342308745e-06,11.04529651491,12.7546798003867,18.9504178783772,1.65168532144359
1.36,-7395.356323566,0.260258200595935,-7395.356323566,0.019392475942422,0.0265446835359256,0.0499353953129802,6.38003499004039e-05,0.000446394441528966,10.7109951977628,12.7987564952659,17.2213845376152,1.58723133887511
1.37,-7394.92626007291,0.237210564963413,2.59511058929183,0.0161227137851976,0.0304133303915257,0.0497152036703497,0.000119712219825985,9.42833386343782e-05,12.0836260405254,12.3337942002644,18.8693428694224,1.4965537678581
1.38,-7394.43964206181,0.303095990945518,-7394.43964206181,0.018759692026615,0.0285670686431489,0.0526199513743543,1.14272662786993e-05,2.93993525449669e-05,10.895189543636,12.0204580219231,19.5262123729603,1.5655867405865
1.39,-7392.61500309286,0.0815730148459683,0.993338337663772,0.0188564268597465,0.0277012987657587,0.0479774585768505,5.00144348629237e-05,1.9595296693347e-05,11.4054428208058,12.4202492825022,17.9312478253785,1.55928386969831
1.4,-7393.82873348932,0.257715737026726,2.57181997737098,0.0173833413143946,0.02634083954956,0.0578001887474363,2.46898271886524e-06,3.48367880053196e-05,12.3557022272684,12.2157972517898,18.5353824432013,1.52632323511366
